# #Strike, Option_Price, Volume, Maturity
#
55,	114.55, 51, 	0.3333333
60,	109.65,	2, 	0.3333333
65,	104.65,	1,	0.3333333
70,	99.8,	2,	0.3333333
75,	94.75,	13,	0.3333333
80,	89.9,	10,	0.3333333
85,	85,	1,	0.3333333
90,	80.05,	1,	0.3333333
95,	75.15,	5,	0.3333333
100,	70.2,	6,	0.3333333
105,	65.35,	3,	0.3333333
110,	60.5,	3,	0.3333333
115,	55.7,	3,	0.3333333
120,	50.9,	2,	0.3333333
125,	46.25,	1,	0.3333333
130,	41.75,	5,	0.3333333
135,	37.25,	57,	0.3333333
140,	33.05,	41,	0.3333333
145,	28.85,	51,	0.3333333
150,	25.05,	59,	0.3333333
155,	21.5,	45,	0.3333333
160,	18.15,	370,	0.3333333
165,	15.2,	204,	0.3333333
170,	12.45,	865,	0.3333333
175,	10.1,	221,	0.3333333
180,	8.1,	242,	0.3333333
185,	6.4,	140,	0.3333333
190,	4.95,	840,	0.3333333
195,	3.8,	36,	0.3333333
200,	2.89,	459,	0.3333333
205,	2.19,	33,	0.3333333
210,	1.65,	33,	0.3333333
215,	1.26,	25,	0.3333333
220,	0.96,	39,	0.3333333
225,	0.74,	15,	0.3333333
230,	0.57,	30,	0.3333333
235,	0.44,	72,	0.3333333
240,	0.35,	21,	0.3333333
245,	0.27,	10,	0.3333333
250,	0.21,	72,	0.3333333
255,	0.17,	20,	0.3333333
260,	0.14,	28,	0.3333333
270,	0.09,	1,	0.3333333
280,	0.07,	28,	0.3333333
290,	0.06,	53,	0.3333333
300,	0.05,	6,	0.3333333
310,	0.02,	6,	0.3333333
320,	0.04,	3,	0.3333333
#
