# #otype, maturity, strike, price 
#
1.00000000e+00,3.3333333e-01,2.00000000e+01,2.95000000e+02
1.00000000e+00,3.3333333e-01,2.50000000e+01,2.90000000e+02
1.00000000e+00,3.3333333e-01,3.50000000e+01,2.80000000e+02
1.00000000e+00,3.3333333e-01,4.00000000e+01,2.75000000e+02
1.00000000e+00,3.3333333e-01,5.00000000e+01,2.65000000e+02
1.00000000e+00,3.3333333e-01,5.50000000e+01,2.60000000e+02
1.00000000e+00,3.3333333e-01,6.00000000e+01,2.55000000e+02
1.00000000e+00,3.3333333e-01,6.50000000e+01,2.50000000e+02
1.00000000e+00,3.3333333e-01,7.00000000e+01,2.45000000e+02
1.00000000e+00,3.3333333e-01,7.50000000e+01,2.40000000e+02
1.00000000e+00,3.3333333e-01,8.00000000e+01,2.36000000e+02
1.00000000e+00,3.3333333e-01,8.50000000e+01,2.31000000e+02
1.00000000e+00,3.3333333e-01,9.00000000e+01,2.25000000e+02
1.00000000e+00,3.3333333e-01,9.50000000e+01,2.21000000e+02
1.00000000e+00,3.3333333e-01,1.00000000e+02,2.16000000e+02
#
